2020-04-21 12:04:275 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-21 12:04:565 INFO  HomePage :37 - Clicking on login link :[[ChromeDriver: chrome on WINDOWS (4d0ad98b603e29448b54c3b235a6542d)] -> link text: Log in]
2020-04-21 12:04:644 INFO  LoginPage :36 - Entering emailId :abc@yahoomail.com in the emailfield :[[ChromeDriver: chrome on WINDOWS (4d0ad98b603e29448b54c3b235a6542d)] -> id: Email]
2020-04-21 12:04:717 INFO  LoginPage :42 - Entering password :Tajmahal06 in the password field :[[ChromeDriver: chrome on WINDOWS (4d0ad98b603e29448b54c3b235a6542d)] -> id: Password]
2020-04-21 12:04:794 INFO  LoginPage :48 - Clicking on login Button :[[ChromeDriver: chrome on WINDOWS (4d0ad98b603e29448b54c3b235a6542d)] -> xpath: //input[@class='button-1 login-button']]
2020-04-21 12:04:823 INFO  LoginPage :53 - Getting welcome text :[[ChromeDriver: chrome on WINDOWS (4d0ad98b603e29448b54c3b235a6542d)] -> xpath: //div[@class='page-title']//h1]
2020-04-21 12:04:481 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-21 12:04:457 INFO  HomePage :37 - Clicking on login link :[[ChromeDriver: chrome on WINDOWS (4878aa4e0dcb708776aa151fdc7a45c8)] -> link text: Log in]
2020-04-21 12:04:537 INFO  LoginPage :36 - Entering emailId :abc@yahoomail.com in the emailfield :[[ChromeDriver: chrome on WINDOWS (4878aa4e0dcb708776aa151fdc7a45c8)] -> id: Email]
2020-04-21 12:04:613 INFO  LoginPage :42 - Entering password :Tajmahal06 in the password field :[[ChromeDriver: chrome on WINDOWS (4878aa4e0dcb708776aa151fdc7a45c8)] -> id: Password]
2020-04-21 12:04:673 INFO  LoginPage :48 - Clicking on login Button :[[ChromeDriver: chrome on WINDOWS (4878aa4e0dcb708776aa151fdc7a45c8)] -> xpath: //input[@class='button-1 login-button']]
2020-04-21 12:04:717 INFO  LoginPage :48 - Clicking on login Button :[[ChromeDriver: chrome on WINDOWS (4878aa4e0dcb708776aa151fdc7a45c8)] -> xpath: //input[@class='button-1 login-button']]
2020-04-21 12:04:361 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-21 12:04:16 INFO  HomePage :37 - Clicking on login link :[[ChromeDriver: chrome on WINDOWS (9fa2c34df76cbcf7a8026ff01a151198)] -> link text: Log in]
2020-04-21 12:04:42 INFO  LoginPage :53 - Getting welcome text :[[ChromeDriver: chrome on WINDOWS (9fa2c34df76cbcf7a8026ff01a151198)] -> xpath: //div[@class='page-title']//h1]
